Продажу билетов на конкурс «Евровидение» приостановили в Израиле,Власти говорят о возможных махинациях 
Писателя Романа Арбитмана вызывают в полицию Саратова,Повестку ему вручили на завтра…
В Симферополе задержали архиепископа Православной церкви Украины Климента,"По сведениям ОВД Инфо, это произошло на автовокзале, откуда священнослужитель собирался ехать в Ростов-на-Дону…"
Постановление СК о возбуждении уголовного дела в отношении Браудера абсурдно – адвокат,Такое мнение высказал в эфире радиостанции «Эхо Москвы» адвокат основателя британского фонда Hermitage Capital Уильяма Браудера Александр Антипов…
Чемпионат мира по лыжным видам спорта завершается сегодня в Австрии по традиции мужским марафоном,"Еще на первой половине дистанции в отрыв, причем в одиночку, ушел норвежец Ханс Кристофер Холланд…"
Принадлежащую 'Русалу' горнодобывающую компанию в Гайане могут закрыть из-за увольнений бастовавших сотрудников,Об этом объявили власти южноамериканского государства…
"В МВД отрицают угрозы в адрес полицейских, задержавших в Кисловодске бойца смешанного стиля Александра Емельяненко","В ведомстве заверили, что никого из них не уволили…"
The Mail on Sunday: Посол России в Лондоне Александр Яковенко был агентом спецслужб еще с советских времен,"Официальный представитель МИДа Мария Захарова уже заявила, что британские СМИ «отмечают» годовщину событий в Солсбери откровенными фейками…"
Трое полицейских задержаны в Ингушетии при получении взятки,"Cиловики обещали не возбуждать уголовное дело мужчине, которого задержали с наркотиками…"
В Москве сход в поддержку арестованного аспиранта МГУ Азата Мифтахова закончился задержаниями,Акция проходила у главного здания Московского университета…
SpaceX совместно с NASA провела первый в истории успешный пуск пилотируемого частного космического корабля Crew Dragon,Старт производился с помощью многоразовой ракеты Falcon 9 и транслировался в прямом эфире на сетевых ресурсах SpaceX…
Известный ученый Жорес Алферов скончался минувшей ночью на 89-м году жизни,В 2000 году он стал лауреатом Нобелевской премии по физике…
Неизвестные повредили стелу на месте бывшей синагоги Страсбурга,Власти города пообещали найти ответственных за этот акт антисемитизма…
Соединенные штаты впервые с 2011 года вывели в коcмос пилотируемый корабль,Его запустила частная компания SpaceX Илона Маска…
Похороны Алферова пройдут по церемониалу для почетных граждан Петербурга,Законодательное собрание Петербурга присвоило Алферову звание почетного гражданина 23 мая 2001 года…
Сотрудник супермаркета на востоке Москвы избил ремнем двух несовершеннолетних,"Сообщается, что полиция проводит проверку…"
Сразу в двух городах Челябинской области прошли митинги против ухудшения экологической ситуации,"В Миассе люди выступили против строительства горно-обогатительного комбината, в Златоусте – против кремниевого завода…"
"Боец Александр Емельяненко признал в суде Кисловодска, что управлял машиной в нетрезвом состоянии",Его задержали накануне вечером после ДТП…
Норвежская спортсменка Тереза Йохауг выиграла женский марафон на чемпионате мира по лыжным видам спорта,"Норвежская спортсменка Тереза Йохауг выиграла женский марафон на чемпионате мира по лыжным видам спорта в австрийском Зеефельде. Йохауг победила во всех гонках чемпионата, в которых принимала участие, кроме одной, но в ней от самой Йохауг зависело не все. Норвежки уступили в эстафете команде Швеции. В личных дисциплинах Терезу не смог обогнать никто, в том числе и сегодня. Преимущество Йохауг сомнению не подвергалось"
Нобелевский лауреат по физике Жорес Алферов скончался минувшей ночью на 89-м году жизни,Прощание с ним пройдет во вторник в научном центре Академии наук в Санкт-Петербурге…
Суд в Кисловодске должен рассмотреть сегодня административное дело бойца смешанных единоборств Александра Емельяненко,Спортсмена уже доставили в здание городского суда…
Полиция задерживает собравшихся у здания МГУ на сход в поддержку аспиранта мехмата Азата Мифтахова,"По данным проекта «ОВД-Инфо», в полицейских автобусах уже находятся не менее четырех человек…"
"В Генштабе считают, что США вынашивают планы по подрыву российской государственности с использованием оппозиции","Об этом начальник Генштаба Валерий Герасимов заявил сегодня на конференции, посвященной развитию военной стратегии…"
Прошедший февраль стал в Москве одним из самых темных за 20 лет наблюдений,Солнце светило в столице за весь месяц только 43 часа…
Жителя Грозного будут судить за появление в центре города с флагом со свастикой,В прокуратуре Чечни назвали такое правонарушение нетипичным…
Власти США отменили визы 49 представителям режима венесуэльского президента Николаса Мадуро и членам их семей,В этот список попали крупные чины армии Боливарианской республики и госбезопасности…
Администрация президента Алжира собирается объявить в ближайшее время о неких важных решениях,Об этом сообщает арабский телеканал «Аль-Арабия» со ссылкой на источники в руководстве страны…
Генштаб РФ обвиняет Пентагон в попытке использовать протестный потенциал для дестабилизации обстановки в стране,"По словам начальника Генерального штаба Валерия Герасимова, эту стратегию называют «Троянским конём»..."
Похороны нобелевского лауреата по физике Жореса Алферова пройдут во вторник на Комаровском кладбище под Петербургом,Чуть ранее в тот же день в научном центре РАН в Северной столице состоится прощание с академиком…
'Зенит' выиграл первый матч весенней части чемпионата,В гостях питерцы были сильнее екатеринбургского «Урала»...
У здания МГУ собрались студенты и сотрудники университета в поддержку арестованного аспиранта Азата Мифтахова,В середине февраля Азата Мифтахова арестовали по делу о событиях годовой давности…
Московский митинг против применения антигололедных реагентов собрал сегодня около сотни участников,"Участники акции, организаторами которой выступили движение «Моссовет» и «Левый фронт», вышли на площадь у памятника ополченцам около метро Автозаводская…"
Суд освободил из-под стражи бывшего сенатора от Карачаево-Черкесии Вячеслава Дерева,Он дал показания на своего преемника в Совфеде Рауфа Арашукова по делу об убийствах…
Издание 'Проект' опубликовало сегодня расследование о партии ЛДПР и ее лидере Владимире Жириновском,"Как рассказал радиостанции «Эхо Москвы» заместитель главного редактора издания Проект Михаил Рубин, фракция продает мандаты в Госдуму…"
В Кирове сегодня освободили из-под стражи заведующую поликлиникой Тамару Пермякову,Она была задержана два дня назад по подозрению в халатности…
Российские лыжники завоевали серебро на Чемпионате мира,"Андрей Ларьков, Александр Бессмертных, Александр Большунов и Сергей Устюгов пришли вторыми в эстафете…"
Саудовская Аравия лишила подданства сына Усамы бен Ладена,Об этом сообщает телеканал «Аль Хадас» со ссылкой на МВД королевства…
Американские визы для россиян подешевеют,"С 4-го марта все виды виз вновь будут стоить 160 долларов, как это было до повышения цен в начале января…"
"Александр Лукашенко заявил, что будет участвовать в президентских выборах в Белоруссии в 2020-м году","По словам действующего лидера, он не может не выдвинуть свою кандидатуру…"
"В Кремле, как утверждают источники канала 'Дождь', подозревают инвестфонд Baring Vostok в финансировании оппозиции","Пресс-секретарь президента Дмитрий Песков сказал, что впервые об этом слышит…"
"Найденная на чердаке картина, которую приписывают Караваджо, выставлена на торги в Лондоне",Эксперты аукционного дома «Сотби» оценили полотно в 170 миллионов долларов…
"Псковская журналистка С. Прокопьева, которую обвинили в оправдании терроризма, стала лауреатом премии 'Редколлегия'",Ее отметили в номинации «Солидарность»...
"В 'Открытой России' заявили, что полиция разгромила московский офис движения",О результатах осмотра рассказала «Эху» пресс-секретарь Наталья Грязневич…
В Кирове около сотни врачей решили уволиться в знак протеста против задержания коллеги,Их возмутили методы силовиков…
"Суд отпустил из-под стражи экс-сенатора, который был предшественником Рауфа Арашукова",Последний год Вячеслав Дерев провел под арестом по обвинению в хищении 110 миллионов рублей…
В США появился новый претендент на президентский пост,О желании баллотироваться объявил губернатор штата Вашингтон демократ Джей Инсли…
Британские власти признали бывший дом Сергея Скрипаля в Солсбери полностью безопасным,Здание очистили от отравляющего вещества «Новичок»...
"Зарплаты федеральных чиновников за год выросли на 5,5%","В среднем сотрудники аппарата Госдумы получают 159 тысяч рублей, Совета Федерации – 186 тысяч рублей в месяц, госслужащие в аппарате правительства получают в среднем за месяц 240 тысяч рублей, а в администрации президента – 236 т.р…"
"Деятельность Владимира Путина одобряют 65% россиян, а доверяют ему 33%",Об этом свидетельствуют данные опроса ВЦИОМ…
ФСБ задержала высокопоставленного сотрудника Государственного ракетного центра имени академика Макеева,Детали случившегося не раскрываются из-за секретности объекта…
Мосгорсуд отказался продлить срок ареста бывшему сенатору от Карачаево-Черкесии Вячеславу Дереву,Он был освобожден в зале суда…
В Норвегии зафиксировали новые помехи в работе навигационных систем GPS,"Подобные перебои уже происходили ранее, и власти страны обвиняли в этом Москву…"
"Бастрыкин: Уровень оправдательных приговоров по делам, которыми занимается СК,составляет около половины процента в год",Об этом сегодня сообщил председатель СК Александр Бастрыкин на расширенной коллегии по итогам работы ведомства за прошлый год…
Мосгорсуд отказался продлевать арест бывшему сенатору от Карачаево-Черкесии Вячеславу Дереву,Его обвиняют в мошенничестве…
Кремль заподозрил инвестиционный фонд Baring Vostok в финансировании оппозиции,Его основатель Майкл Калви арестован по делу о мошенничестве…
В Даниловском районе Москвы будет установлена скульптура высотой в пятиэтажный дом,Арт-объект весом более 11 тонн планируется разместить на бульваре Братьев Весниных…
Бастрыкин: Низкий процент оправдательных приговоров в России является признаком эффективности работы СК,Так считает глава ведомства Александр Бастрыкин…
Минск не будет выпрашивать у России кредит на рефинансирование долговых обязательств перед Москвой,Об этом сегодня заявил президент Белоруссии Александр Лукашенко…
"В АП считают, что структуры инвестиционного фонда Бэринг Восток материально поддерживали оппозицию","По мнению чиновников администрации, через фонд осуществлялись протесты дальнобойщиков и обманутых дольщиков перед президентскими выборами 2018-го года…"
Мосгорсуд оставил под стражей аспиранта МГУ Азата Мифтахова,Его обвиняют в хулиганстве из-за дела годичной давности о нападении на офис Единой России на севере Москвы…
Суд в Мюнхене приговорил племянника Дмитрия Киселева к двум годам трем месяцам лишения свободы,"Приговор был вынесен в ходе договоренности, достигнутой между судом и защитой обвиненного…"
Инвестор Майкл Калви останется под стражей,Мосгорсуд сегодня отклонил жалобу защиты на меру пресечения…
Путин: Каждое второе преступление в России остается нераскрытым,Об этом Владимир Путин говорил сегодня на расширенном заседании коллегии МВД…
Американские конгрессмены заинтересовались активами Владимира Путина,"Они представили законопроект, предписывающий разведке собрать информацию о личном капитале российского президента и его окружения…"
Главы Северной Кореи и США закончили саммит,"Встреча прошла хорошо, хотя и не удалось прийти к заключению каких-либо новых соглашений, — утверждает президент Соединенных Штатов Дональд Трамп…"
Армия Пакистана возобновила обстрел территории Индии,"По утверждению индийских СМИ, огонь, в результате которого пострадали несколько населенных пунктов, был открыт сегодня днем…"
Жириновский: России стоит встать на сторону Индии в индо-пакистанском конфликте,"С точки зрения политика, война между этими странами неизбежна…"
Женская сборная России завоевала бронзу в эстафете на Чемпионате мира по лыжным видам спорта,Победила сборная Швеции…
Задержанным в Австрии лыжникам грозит до 3-х лет тюрьмы,"Пятерых спортсменов сборных Австрии, Казахстана и Эстонии подозревают в нарушении антидопингового законодательства, а также в спортивном мошенничестве…"
Магистральный газопровод взорвался и загорелся под Рязанью,Это произошло в районе села Троицкое…
"Власти Петербурга не готовят новых документов по Исаакиевскому собору, потому что нет заявления от РПЦ",Это сообщил вице-губернатор Евгений Елин…
В Подмосковье легкомоторный самолет упал на дачный дом,Погибли пилот и пассажир…
Генпрокуратура нашла у бывшего главы Серпуховского района Подмосковья активы еще на 425 миллионов рублей,До этого речь шла об имуществе на 10 миллиардов…
Мосгорсуд не удовлетворил жалобу защиты Майкла Калви на избрание меры пресечения,Суд неправомерно рассматривает дело основателя фонда Baring Vostok в уголовной плоскости…
В Москве на новом стадионе клуба 'Динамо' отменили первый матч из-за плохого газона,Комиссия РФПЛ признала его непригодным для игры…
Переговоры глав КНДР и США закончились во Вьетнамском Ханое,Нового соглашения подписать не удалось…
Владимир Путин призвал не накручивать статистику по делам об экстремизме,Подобное заявление он сделал на расширенном заседании коллегии МВД…
"Сенатор Людмила Нарусова заявила о том, что заболевшим в Москве детям умышленно не ставили диагноз 'дизентерия'",Она обвинила в этом столичных чиновников…
Все шесть запущенных спутников системы глобального интернета OneWeb успешно работают,Это сообщил глава проекта Грэг Уайлер…
В Южной Корее врезалось в мост российское судно с пьяным капитаном,"Сухогруз пробил в мосту дыру, а примерно за 40 минут до происшествия протаранил круизный корабль…"
В Госдуму внесен законопроект об ипотечных каникулах,"Согласно документу, если заемщик попал в трудную жизненную ситуацию, то банки ему дадут полгода, чтобы возобновить платежи по кредиту…"
В Петербурге проходят обыски в Доме офицеров Западного военного округа,"По данным следствия, подозреваемые там незаконно сдавали в аренду государственные помещения коммерческим фирмам…"
"Арестованный основатель фонда Baring Vostok заявил, что готов продать спорный актив банка 'Восточный'","Майкл Калви отметил, что речь идет о тех акциях, из-за которых он и другие фигуранты попали под уголовное преследование…"
Майор Черноморского флота и его подруга признаны виновными в шпионаже в пользу Украины,Фигуранты Долгополов и Сухоносова – их имена агентство не приводит – приговорены к 10-ти и 9-ти годам лишения свободы соответственно…
В российском МИДе заявили об опасности военного конфликта между Индией и Пакистаном,Москва призывает стороны к максимальной сдержанности…
Власти Пакистана продлили срок закрытия воздушного пространства над страной,"Между тем, отдельные рейсы все-таки выполняются…"
На Камчатке по подозрению в растрате задержали сотрудницу Кроноцкого заповедника,"Ее коллеги полагают, что это связано с попытками женщины воспрепятствовать строительству рыбоходного канала на реке…"
"МВД опровергло слухи о наказании сотрудников, задержавших в Кисловодске бойца смешанного стиля Александра Емельяненко",Полицейские действовали в рамках законодательства и после этого им никто не угрожал…
Частный космический корабль Crew Dragon успешно пристыковался к МКС в автоматическом режиме,Запуск Crew Dragon состоялся 2 марта с космодрома во Флориде…
Питерские коммунисты рекомендовали кинорежиссера Владимира Бортко для выдвижения на пост губернатора Петербурга,Об этом ТАСС сообщила руководитель фракции КПРФ в городском Заксобрании Ольга Ходунова…
Против Уильяма Браудера в России действительно возбуждено дело об убийстве российского бизнесмена Перепиличного,Это подтвердил адвокат основателя фонда Hermitage Capital Александр Антипов…
The Mail on Sunday: Посол России в Лондоне Александр Яковенко был агентом советских спецслужб,"Официальный представитель российского МИДа Мария Захарова уже заявила, что британские СМИ «отмечают» годовщину событий в Солсбери откровенными фейками…"
Расследование британских СМИ в отношении посла Яковенко не выдерживает критики – МИД,Об этом сообщила в эфире радиостанции «Эхо Москвы» официальный представитель МИД РФ Мария Захарова…
Международный совет футбольных ассоциаций принял ряд изменений в правила игры,Большинство из них призваны сократить количество пауз во время матча…
Отделение КПРФ в Петербурге рекомендовало выдвинуть Владимира Бортко в губернаторы,Об этом сообщает агентство ТАСС со ссылкой на руководство фракции…
Депутаты британского парламента просят МИД страны изучить связи посла России Александра Яковенко с военной разведкой,Об этом пишет газета «Мэйл он санди»...
Космический корабль Crew Dragon успешно пристыковался к МКС,Первый испытательный полет на орбиту прошел в полностью автоматическом режиме…
Россия поставила Индии 50 тысяч автоматов Калашникова,Об этом сообщает агентство Интерфакс со ссылкой на источник…
"В МГУ анонсировали конференцию, приуроченную к годовщине отравления Скрипалей",Об этом сообщает радиостанция «Говорит Москва»...
Британские депутаты потребовали изучить связи посла России с военной разведкой,Об этом пишет газета «Мэйл он санди»...
"В МВД отрицают угрозы в адрес полицейских, задержавших бойца смешанных единоборств Александра Емельяненко",Об этом сообщает агентство Интерфакс…
Частный космический корабль Crew Dragon сегодня успешно пристыковался к МКС,Процесс прошел в штатном режиме…
В столице началась масштабная реконструкция главной арены спорткомплекса «Олимпийский»,"Стартовал «снос» внутренних строений стадиона, который был построен к Олимпиаде 1980 года…"
В районе Зюзино на юго-западе Москвы сегодня проходит акция против закрытия роддома,"Местные жители считают, что альтернативы этому роддому нет…"
"В России опасаются, что Вашингтон пойдет на провокации, чтобы осуществить военное вторжение в Венесуэлу",Об этом заявила спикер Совета Федерации Валентина Матвиенко…
"Сын жительницы Великобритании, скончавшейся от отравления ядом 'Новичок', обратился к Владимиру Путину",Эван Хоуп написал президенту России письмо с просьбой позволить британским спецслужбам допросить двух подозреваемых в организации отравления в Солсбери предполагаемых военных разведчиков…
Потушен пожар на территории судоремонтного завода в Москве,"По словам спасателей, никто не пострадал…"
В Пскове сегодня проходит митинг против строительства химического предприятия 'Титан-полимер',"рганизаторами выступили, в том числи, представители КПРФ и партии «Яблоко»..."
В Саратове пенсионер скончался после падения на него глыбы льда,"Возбуждено уголовное дело об оказании услуг, не отвечающих требованиям безопасности…"
Во Львове снесли 30-метровую стелу Монумента славы советским воинам,"Еще три года назад группа местных депутатов заявила, что существование мемориала противоречит закону о декоммунизации…"
Дональд Трамп потребовал от Ким Чен Ына закрыть секретный завод по обогащению урана,Американский лидер обратился к северокорейскому коллеге во время недавней встречи в Ханое…
Американский космический корабль Крю Дрэгон успешно пристыковался к МКС,Перед этим он выполнил серию маневров…
Самолёт Узбекских авиалиний выкатился за пределы посадочной полосы,Это произошло в Пулково в Петербурге…
Крупный пожар произошел на территории судоремонтного завода в Москве,Загорелось однопалубное судно…
В районе Зюзино на юго-западе Москвы сегодня проходит акция против закрытия роддома,"Местные жители организовали сбор подписей и решили собраться, чтобы выразить свой протест…"
"Все пять спортсменов, задержанные в ходе рейда австрийской и немецкой полиции признались в употреблении допинга","Ранее сообщалось, трое из пяти спортсменов допрошены и отпущены после того, как дали признательные показания…"
Венесуэла переносит офис главной госкорпорации в Россию,Об этом объявила вице-президент страны Дельси Родригес…
Дом бывшего полковника ГРУ Сергея Скрипаля в английском городе Солсбери передан совету графства Уитшир,"Об этом объявило британское правительство, отчитавшееся о завершении работ по ликвидации последствий загрязнения нервнопаралитическим веществом…"
"Индийский пилот, захваченный в плен пакистанцами, в самое ближайшее время должен быть возвращён на родину",Его собрались поприветствовать на границе тысячи индийцев…
Наталья Грязневич: Полиция разгромила офис движения 'Открытая Россия',"Грязневич добавила, что в данный момент сотрудники выясняют с юристами, насколько законным был осмотр…"
В выборах главного редактора радиостанции 'Эхо Москвы' примут участие как минимум два кандидата,Это действующий главред Алексей Венедиктов и журналист радиостанции Алексей Голубев…
В Санкт-Петербурге задержана руководитель Дома офицеров Западного военного округа,Об этом сообщил источник в силовых структурах…
Авиационное управление Норвегии зарегистрировало новые помехи в работе систем GPS в северных районах страны,"Об этом сообщает местное телевидение, ссылаясь на Национальное управление Норвегии по коммуникациям…"
Тысячи индийцев собрались в районе одного из приграничных с Пакистаном населенных пунктов,"Они приветствуют возвращение на родину пилота индийских ВВС, который попал в пакистанский плен…"
В Кирове освободили заведующую поликлиникой Тамару Пермякову,Она была задержана по делу о гибели запертой в квартире трехлетней девочки…
В столице стартовал гастрономический фестиваль «Московская Масленица»,Гулянья пройдут на 23 площадках – главные находятся в центре города…
В Саратове сотрудник коммунальной службы напал с лопатой на съемочную группу агентства 'Свободные новости',Оператор получил небольшую травму…
"Не только военным, но и гражданским специалистам суды РФ отказывают в присвоении статуса ветерана боевых действий",Житель Оренбургской области Сергей Сотников ездил в Сирию в качестве повара…
Прокремлёвские СМИ устроили кампанию по дезинформации об атаке на бывшего двойного агента Сергея Скрипаля,"В своей статье Financial Times ссылается на результаты исследования, которое провел британский Королевский колледж…"
Совбез ООН не поддержал российскую резолюцию по Венесуэле,За нее высказались только четыре страны из пятнадцати…
Издание 'Проект': Либерально-демократическая партия России продает мандаты в Госдуму,"«В Кремле пока не ознакомились с публикацией», — сообщил «Эху Москвы» пресс-секретарь президента Дмитрий Песков…"
"Три четверти россиян предпочитают расплачиваться картой, а не наличными","Таковы результаты опроса, проведенного ВЦИОМ…"
Воздушное пространство Пакистана останется закрытым до 4 марта,"Эта мера была введена после того, как появились сообщения о двух индийских военных самолетах, которые якобы были сбиты в воздушном пространстве Пакистана…"
Низкий процент оправдательных приговоров в России является признаком эффективности работы Следственного комитета,Так считает глава ведомства Александр Бастрыкин…
Лефортовский суд отказал в принятии прошения об УДО экс-замначальника ГСУ СК Москвы Дениса Никандрова,"Он был осужден к 5,5 годам заключения за взятку в один миллион долларов по делу Шакро Молодого, которого в СМИ называют криминальным авторитетом…"
В Нижнем Новгороде возле одной из школ неизвестные открыли стрельбу по прохожим,"Стрельба велась из пневматического пистолета, люди, попавшие под обстрел, попытались забежать в здание школы…"
Более тысячи кировских медиков написали заявление об увольнении,"Демарш был предпринят в защиту заведующей детской поликлиникой, которую задержал местный Следственный комитет…"
В Кирове более тысячи медиков написали заявление об увольнении,"Таким образом они встали на защиту заведующей детской поликлиникой, которую задержали по делу о гибели трехлетней девочки…"
"В России закончилась дачная амнистия, которая стартовала почти 13 лет назад, а затем неоднократно продлевалась",По упрощенной процедуре за это время было зарегистрировано 13 миллионов домов и да…
Сегодня после зимнего перерыва возобновляется чемпионат России по футболу,Три матча первого весеннего тура пришлось перенести…
Пожилой президент Алжира Абдельазиз Бутефлика в крайне тяжёлом состоянии попал в больницу в Швейцарии,"Врачи обеспокоены за жизнь политика, который не так давно выдвинул свою кандидатуру на очередной пятилетний срок…"
Нобелевского лауреата Жореса Алферова похоронят 5 марта под Петербургом,Ранее в этот же день пройдет прощание…
Владимиру Путину направили доклад о трудностях мусорной реформы в России,Его подготовили в Общероссийском народном фронте…
МВД предлагает создать открытую базу данных для автомобилей,"Предполагается, что доступ к нему будут иметь все россияне…"
